     0  98.251985 247.991806  -3.718160   0.858017  -0.942643  -0.942643   0.000000   0.000000   0.000000 276.648478 276.844870   0.161867   0.161864 277.484636   0.161865
     1 101.319613 248.013997  -0.531578  -1.077857  -0.168309  -0.168309   0.000000   0.000000  -1.374744 276.748072 276.844168   0.161867   0.161864 277.548045   0.161865
     2 104.406360 247.999663   1.335013  -0.193474  -0.087043  -0.087043   0.000000   0.000000  -0.672668 276.852802 276.844281   0.161867   0.161864 277.613328   0.161865
     3 107.511299 247.997934   3.203757   0.854904   0.012819   0.012819   0.000000   0.000000   0.059646 276.954405 276.845163   0.161867   0.161864 277.681730   0.161865
     4 110.633539 248.018496   5.118950   1.903004   0.118427   0.118427   0.000000   0.000000   0.764694 277.057372 276.846800   0.161867   0.161864 277.752389   0.161865
     5 113.772216 248.052001   7.051772   2.987787   0.216525   0.216525   0.000000   0.000000   1.474001 277.160931 276.849176   0.161866   0.161864 277.824009   0.161865
     6 116.926494 248.096689   9.003367   4.094090   0.313310   0.313310   0.000000   0.000000   2.182284 277.265195 276.852274   0.161865   0.161864 277.896405   0.161865
     7 120.095567 248.151181  10.971368   5.219522   0.409141   0.409141   0.000000   0.000000   2.890443 277.370181 276.856080   0.161864   0.161864 277.969396   0.161864
     8 123.278655 248.214599  12.954304   6.361632   0.504287   0.504287   0.000000   0.000000   3.598707 277.475912 276.860580   0.161864   0.161864 278.042855   0.161864
     9 126.475002 248.286988  14.951537   7.517246   0.599060   0.599060   0.000000   0.000000   4.307329 277.582490 276.865761   0.161863   0.161864 278.116769   0.161864
    10 129.683878 248.368931  16.962594   8.683862   0.693737   0.693737   0.000000   0.000000   5.017103 277.690048 276.871613   0.161862   0.161864 278.191171   0.161863
    11 132.904576 248.461031  18.986885   9.860146   0.788475   0.788475   0.000000   0.000000   5.729046 277.798694 276.878127   0.161861   0.161864 278.266055   0.161863
    12 136.136411 248.563600  21.023691  11.045731   0.883289   0.883289   0.000000   0.000000   6.443971 277.908473 276.885294   0.161860   0.161864 278.341326   0.161862
    13 139.378720 248.676486  23.072157  12.241065   0.978052   0.978052   0.000000   0.000000   7.162257 278.019354 276.893106   0.161859   0.161864 278.416775   0.161861
    14 142.630862 248.799039  25.131330  13.447112   1.072529   1.072529   0.000000   0.000000   7.883742 278.131233 276.901554   0.161857   0.161864 278.492070   0.161861
    15 145.892212 248.930198  27.200225  14.665038   1.166412   1.166412   0.000000   0.000000   8.607753 278.243947 276.910630   0.161856   0.161864 278.566768   0.161860
    16 149.162169 249.068639  29.277887  15.895921   1.259373   1.259373   0.000000   0.000000   9.333222 278.357303 276.920322   0.161854   0.161864 278.640336   0.161859
    17 152.440147 249.212949  31.363441  17.140541   1.351100   1.351100   0.000000   0.000000  10.058862 278.471100 276.930621   0.161853   0.161864 278.712170   0.161858
    18 155.725579 249.361794  33.456126  18.399253   1.441341   1.441341   0.000000   0.000000  10.783357 278.585159 276.941513   0.161851   0.161864 278.781611   0.161857
    19 159.017914 249.514046  35.555303  19.671970   1.529918   1.529918   0.000000   0.000000  11.505521 278.699331 276.952986   0.161849   0.161864 278.847945   0.161856
    20 162.316619 249.668842  37.660440  20.958237   1.616741   1.616741   0.000000   0.000000  12.224416 278.813512 276.965027   0.161847   0.161864 278.910389   0.161855
    21 165.621175 249.825675  39.771151  22.257142   1.701807   1.701807   0.000000   0.000000  12.939394 278.927649 276.977624   0.161845   0.161864 278.968071   0.161854
    22 168.931077 249.984556  41.887310  23.567005   1.785213   1.785213   0.000000   0.000000  13.650174 279.041763 276.990763   0.161843   0.161864 279.020021   0.161853
    23 172.245839 250.145844  44.008775  24.886310   1.867096   1.867096   0.000000   0.000000  14.356996 279.155920 277.004435   0.161840   0.161864 279.067439   0.161852
    24 175.564982 250.310036  46.135347  26.213862   1.947589   1.947589   0.000000   0.000000  15.060399 279.270203 277.018628   0.161838   0.161864 279.113076   0.161851
    25 178.888047 250.477579  48.266719  27.548948   2.026778   2.026778   0.000000   0.000000  15.761024 279.384679 277.033334   0.161836   0.161864 279.157745   0.161849
    26 182.214584 250.648721  50.402467  28.891367   2.104682   2.104682   0.000000   0.000000  16.459417 279.499386 277.048543   0.161833   0.161864 279.201853   0.161848
    27 185.544156 250.823446  52.542080  30.241313   2.181255   2.181255   0.000000   0.000000  17.155894 279.614319 277.064249   0.161830   0.161864 279.245630   0.161847
    28 188.876338 251.001487  54.685010  31.599190   2.256403   2.256403   0.000000   0.000000  17.850485 279.729437 277.080443   0.161827   0.161864 279.289187   0.161845
    29 192.210716 251.182403  56.830729  32.965401   2.330004   2.330004   0.000000   0.000000  18.542957 279.844674 277.097116   0.161825   0.161863 279.332564   0.161844
    30 195.546888 251.365690  58.978772  34.340178   2.401948   2.401948   0.000000   0.000000  19.232904 279.959954 277.114260   0.161822   0.161863 279.375764   0.161842
    31 198.884462 251.551001  61.128866  35.723130   2.472147   2.472147   0.000000   0.000000  19.919862 280.074365 277.131859   0.161818   0.161863 279.418703   0.161841
    32 202.223057 251.738299  63.284832  37.098522   2.562685   2.562685   0.000000   0.000000  20.597543 280.187074 277.149893   0.161815   0.161863 279.461357   0.161839
    33 205.562300 251.927745  65.450329  38.450907   2.697670   2.697670   0.000000   0.000000  21.260270 280.299913 277.168354   0.161812   0.161863 279.504010   0.161837
    34 208.901828 252.119625  67.617046  39.810230   2.833420   2.833420   0.000000   0.000000  21.920912 280.412724 277.187236   0.161808   0.161863 279.546733   0.161835
    35 212.241288 252.314550  69.785994  41.171383   2.969760   2.969760   0.000000   0.000000  22.578410 280.525620 277.206533   0.161805   0.161863 279.589673   0.161834
    36 215.580336 252.513000  71.956828  42.534498   3.106848   3.106848   0.000000   0.000000  23.233611 280.638662 277.226238   0.161801   0.161863 279.632945   0.161832
    37 218.918635 252.715249  74.129277  43.899386   3.244785   3.244785   0.000000   0.000000  23.886966 280.751883 277.246346   0.161796   0.161863 279.676623   0.161830
    38 222.255858 252.921329  76.302960  45.266266   3.383643   3.383643   0.000000   0.000000  24.538754 280.865283 277.266853   0.161792   0.161863 279.720735   0.161827
    39 225.591683 253.131074  78.477485  46.635396   3.523435   3.523435   0.000000   0.000000  25.189009 280.978837 277.287753   0.161788   0.161863 279.765269   0.161825
    40 228.925799 253.344255  80.652527  48.006794   3.664130   3.664130   0.000000   0.000000  25.837582 281.092512 277.309042   0.161783   0.161863 279.810201   0.161823
    41 232.257900 253.560709  82.827847  49.380172   3.805670   3.805670   0.000000   0.000000  26.484288 281.206287 277.330713   0.161778   0.161863 279.855515   0.161820
    42 235.587689 253.780406  85.003292  50.754967   3.947997   3.947997   0.000000   0.000000  27.129015 281.320163 277.352763   0.161773   0.161862 279.901221   0.161818
    43 238.914872 254.003468  87.178750  52.130491   4.091071   4.091071   0.000000   0.000000  27.771799 281.434160 277.375186   0.161768   0.161862 279.947351   0.161815
    44 242.239167 254.230112  89.354108  53.506110   4.234883   4.234883   0.000000   0.000000  28.412816 281.548312 277.397979   0.161762   0.161862 279.993954   0.161813
    45 245.560294 254.460564  91.529206  54.881388   4.379444   4.379444   0.000000   0.000000  29.052331 281.662651 277.421137   0.161756   0.161862 280.041081   0.161810
    46 248.877982 254.694984  93.703831  56.256129   4.524779   4.524779   0.000000   0.000000  29.690599 281.777199 277.444657   0.161750   0.161862 280.088768   0.161807
    47 252.191963 254.933420  95.877722  57.630314   4.670909   4.670909   0.000000   0.000000  30.327800 281.891963 277.468535   0.161744   0.161862 280.137031   0.161804
    48 255.501978 255.175828  98.050613  59.003965   4.817840   4.817840   0.000000   0.000000  30.964000 282.006936 277.492768   0.161738   0.161862 280.185866   0.161801
    49 258.807771 255.422121 100.222258  60.377023   4.965564   4.965564   0.000000   0.000000  31.599174 282.122105 277.517353   0.161731   0.161862 280.235264   0.161798
    50 262.109094 255.672220 102.392454  61.749286   5.114066   5.114066   0.000000   0.000000  32.233260 282.237460 277.542286   0.161724   0.161862 280.285216   0.161794
    51 265.405700 255.926101 104.561036  63.120420   5.263327   5.263327   0.000000   0.000000  32.866215 282.353001 277.567565   0.161717   0.161861 280.335721   0.161791
    52 268.697353 256.183802 106.727860  64.490033   5.413338   5.413338   0.000000   0.000000  33.498053 282.468734 277.593185   0.161710   0.161861 280.386789   0.161788
    53 271.983816 256.445396 108.892779  65.857775   5.564100   5.564100   0.000000   0.000000  34.128843 282.584672 277.619145   0.161702   0.161861 280.438437   0.161784
    54 275.264860 256.710949 111.055626  67.223404   5.715627   5.715627   0.000000   0.000000  34.758689 282.700823 277.645440   0.161694   0.161861 280.490680   0.161781
    55 278.540260 256.980489 113.216205  68.586806   5.867932   5.867932   0.000000   0.000000  35.387681 282.817192 277.672069   0.161686   0.161861 280.543524   0.161777
    56 281.809795 257.253985 115.374302  69.947962   6.021032   6.021032   0.000000   0.000000  36.015860 282.933774 277.699030   0.161678   0.161861 280.596967   0.161773
    57 285.073250 257.531349 117.529696  71.306888   6.174937   6.174937   0.000000   0.000000  36.643209 283.050554 277.726318   0.161670   0.161861 280.650993   0.161769
    58 288.330411 257.812459 119.682173  72.663580   6.329651   6.329651   0.000000   0.000000  37.269655 283.167516 277.753931   0.161661   0.161860 280.705582   0.161765
    59 291.581070 258.097179 121.831533  74.017996   6.485176   6.485176   0.000000   0.000000  37.895090 283.284639 277.781868   0.161652   0.161860 280.760711   0.161761
    60 294.825024 258.385375 123.977591  75.370053   6.641514   6.641514   0.000000   0.000000  38.519397 283.401904 277.810124   0.161642   0.161860 280.816358   0.161757
    61 298.062072 258.676919 126.120166  76.719669   6.798668   6.798668   0.000000   0.000000  39.142462 283.519293 277.838697   0.161633   0.161860 280.872499   0.161752
    62 301.292017 258.971681 128.259077  78.066783   6.956645   6.956645   0.000000   0.000000  39.764177 283.636787 277.867583   0.161623   0.161860 280.929113   0.161748
    63 304.514665 259.269520 130.394136  79.411378   7.115448   7.115448   0.000000   0.000000  40.384428 283.754364 277.896780   0.161613   0.161860 280.986175   0.161743
    64 307.729828 259.570275 132.525153  80.753473   7.275083   7.275083   0.000000   0.000000  41.003090 283.872001 277.926284   0.161602   0.161859 281.043656   0.161739
    65 310.937318 259.873765 134.651934  82.093105   7.435548   7.435548   0.000000   0.000000  41.620018 283.989671 277.956092   0.161591   0.161859 281.101525   0.161734
    66 314.136954 260.179799 136.774294  83.430308   7.596841   7.596841   0.000000   0.000000  42.235049 284.107345 277.986201   0.161580   0.161859 281.159749   0.161729
    67 317.328554 260.488181 138.892050  84.765102   7.758955   7.758955   0.000000   0.000000  42.848008 284.224995 278.016607   0.161569   0.161859 281.218292   0.161724
    68 320.511942 260.798718 141.005032  86.097488   7.921880   7.921880   0.000000   0.000000  43.458720 284.342593 278.047305   0.161557   0.161859 281.277121   0.161719
    69 323.686945 261.111224 143.113074  87.427462   8.085608   8.085608   0.000000   0.000000  44.067011 284.460110 278.078293   0.161545   0.161859 281.336202   0.161714
    70 326.853391 261.425517 145.216013  88.755020   8.250127   8.250127   0.000000   0.000000  44.672716 284.577520 278.109566   0.161533   0.161858 281.395506   0.161709
    71 330.011113 261.741417 147.313688  90.080171   8.415426   8.415426   0.000000   0.000000  45.275678 284.694797 278.141121   0.161521   0.161858 281.454999   0.161704
    72 333.159946 262.058746 149.405940  91.402932   8.581492   8.581492   0.000000   0.000000  45.875736 284.811914 278.172952   0.161508   0.161858 281.514650   0.161698
    73 336.299726 262.377324 151.492613  92.723324   8.748308   8.748308   0.000000   0.000000  46.472735 284.928844 278.205056   0.161494   0.161858 281.574429   0.161693
    74 339.430294 262.696972 153.573554  94.041362   8.915857   8.915857   0.000000   0.000000  47.066518 285.045561 278.237428   0.161481   0.161858 281.634305   0.161687
    75 342.551494 263.017520 155.648616  95.357053   9.084119   9.084119   0.000000   0.000000  47.656931 285.162040 278.270064   0.161467   0.161857 281.694246   0.161681
    76 345.663169 263.338801 157.717660  96.670394   9.253072   9.253072   0.000000   0.000000  48.243827 285.278255 278.302960   0.161453   0.161857 281.754226   0.161675
    77 348.765167 263.660659 159.780549  97.981379   9.422694   9.422694   0.000000   0.000000  48.827067 285.394184 278.336110   0.161438   0.161857 281.814217   0.161669
    78 351.857339 263.982944 161.837149  99.289997   9.592962   9.592962   0.000000   0.000000  49.406520 285.509805 278.369510   0.161423   0.161857 281.874193   0.161663
    79 354.939537 264.305515 163.887332 100.596239   9.763853   9.763853   0.000000   0.000000  49.982065 285.625096 278.403155   0.161408   0.161856 281.934130   0.161657
    80 358.011615 264.628235 165.930972 101.900094   9.935344   9.935344   0.000000   0.000000  50.553585 285.740037 278.437041   0.161392   0.161856 281.994006   0.161651
    81 361.073430 264.950973 167.967945 103.201546  10.107409  10.107409   0.000000   0.000000  51.120972 285.854609 278.471163   0.161376   0.161856 282.053797   0.161645
    82 364.124841 265.273608 169.998133 104.500577  10.280023  10.280023   0.000000   0.000000  51.684123 285.968793 278.505515   0.161360   0.161856 282.113483   0.161638
    83 367.165708 265.596023 172.021423 105.797160  10.453162  10.453162   0.000000   0.000000  52.242942 286.082571 278.540093   0.161343   0.161855 282.173046   0.161631
    84 370.195896 265.918111 174.037704 107.091262  10.626800  10.626800   0.000000   0.000000  52.797343 286.195928 278.574893   0.161326   0.161855 282.232466   0.161625
    85 373.215268 266.239774 176.046868 108.382848  10.800913  10.800913   0.000000   0.000000  53.347246 286.308848 278.609908   0.161308   0.161855 282.291728   0.161618
    86 376.223692 266.560918 178.048812 109.671882  10.975475  10.975475   0.000000   0.000000  53.892580 286.421318 278.645135   0.161290   0.161855 282.350817   0.161611
    87 379.221036 266.881456 180.043434 110.958325  11.150464  11.150464   0.000000   0.000000  54.433280 286.533324 278.680568   0.161272   0.161854 282.409718   0.161604
    88 382.207171 267.201307 182.030635 112.242141  11.325856  11.325856   0.000000   0.000000  54.969287 286.644853 278.716203   0.161253   0.161854 282.468419   0.161597
    89 385.181970 267.520394 184.010316 113.523290  11.501628  11.501628   0.000000   0.000000  55.500546 286.755893 278.752035   0.161234   0.161854 282.526906   0.161589
    90 388.145307 267.838644 185.982385 114.801728  11.677756  11.677756   0.000000   0.000000  56.027008 286.866433 278.788058   0.161214   0.161854 282.585169   0.161582
    91 391.097057 268.155989 187.946749 116.077412  11.854219  11.854219   0.000000   0.000000  56.548628 286.976463 278.824268   0.161194   0.161853 282.643197   0.161575
    92 394.037099 268.472367 189.903318 117.350294  12.030995  12.030995   0.000000   0.000000  57.065365 287.085972 278.860661   0.161174   0.161853 282.700979   0.161567
    93 396.965311 268.787717 191.852006 118.620326  12.208062  12.208062   0.000000   0.000000  57.577182 287.194952 278.897231   0.161153   0.161853 282.758507   0.161559
    94 399.881576 269.101985 193.792726 119.887458  12.385400  12.385400   0.000000   0.000000  58.084048 287.303392 278.933973   0.161132   0.161852 282.815773   0.161551
    95 402.785774 269.415120 195.725395 121.151640  12.562989  12.562989   0.000000   0.000000  58.585934 287.411286 278.970884   0.161110   0.161852 282.872768   0.161543
    96 405.677791 269.727072 197.649932 122.412817  12.740807  12.740807   0.000000   0.000000  59.082814 287.518624 279.007958   0.161088   0.161852 282.929485   0.161535
    97 408.557511 270.037796 199.566256 123.670937  12.918837  12.918837   0.000000   0.000000  59.574667 287.625401 279.045190   0.161065   0.161851 282.985918   0.161527
    98 411.424823 270.347252 201.474290 124.925941  13.097057  13.097057   0.000000   0.000000  60.061475 287.731608 279.082577   0.161042   0.161851 283.042061   0.161519
    99 414.279614 270.655402 203.373957 126.177770  13.275449  13.275449   0.000000   0.000000  60.543222 287.837241 279.120113   0.161018   0.161851 283.097909   0.161511
   100 417.121775 270.962211 205.265183 127.426364  13.453995  13.453995   0.000000   0.000000  61.019897 287.942293 279.157794   0.160994   0.161851 283.153456   0.161502
   101 419.951197 271.267649 207.147896 128.671659  13.632676  13.632676   0.000000   0.000000  61.491493 288.046759 279.195616   0.160970   0.161850 283.208699   0.161494
   102 422.767772 271.571687 209.022024 129.913590  13.811473  13.811473   0.000000   0.000000  61.958003 288.150634 279.233573   0.160945   0.161850 283.263633   0.161485
   103 425.571395 271.874301 210.887497 131.152093  13.990370  13.990370   0.000000   0.000000  62.419426 288.253915 279.271663   0.160919   0.161850 283.318257   0.161476
   104 428.361961 272.175469 212.744247 132.387100  14.169349  14.169349   0.000000   0.000000  62.875764 288.356597 279.309880   0.160893   0.161849 283.372567   0.161467
