   1997.22546       80048.7734       290.885468       6.02411164E-04  0.273901105       1.25832868    
   1971.79590       80303.8672       290.864929       6.27807691E-04  0.177904502       1.29456580    
   1946.36707       80559.5469       290.844452       6.53203519E-04   8.19106698E-02   1.33080196    
   1920.93884       80815.8203       290.824005       6.78598706E-04  -1.40808672E-02   1.36703718    
   1895.51111       81072.6875       290.794037       6.99510332E-04 -0.118823886       1.39634192    
   1870.08398       81330.1719       290.719635       6.99510332E-04 -0.264394194       1.39332247    
   1844.65759       81588.3047       290.645264       6.99510332E-04 -0.409960240       1.39030313    
   1819.23181       81847.0859       290.571014       6.99510332E-04 -0.555522859       1.38728380    
   1793.80676       82106.5312       290.450928       6.99510332E-04 -0.692720413       1.36262691    
   1768.38245       82366.7188       290.188599       6.99510332E-04 -0.803951740       1.27078152    
   1742.95886       82627.7266       289.926544       6.99510332E-04 -0.915179968       1.17893887    
   1717.53625       82889.5547       289.664734       6.99510332E-04  -1.02640390       1.08709967    
   1692.11401       83152.1953       289.428070       7.07384490E-04  -1.11495399      0.983974993    
   1666.69275       83415.6094       289.247101       7.32767687E-04  -1.15308583      0.855756521    
   1641.27234       83679.7656       289.066345       7.58150010E-04  -1.19121647      0.727542341    
   1615.85278       83944.6719       288.885712       7.83531461E-04  -1.22934580      0.599332452    
   1590.43408       84210.3281       288.725311       8.18457920E-04  -1.26089728      0.486013830    
   1565.01624       84476.6953       288.598450       8.69202253E-04  -1.28154933      0.397369087    
   1539.59924       84743.7656       288.471649       9.19944840E-04  -1.30220056      0.308727354    
   1514.18347       85011.5391       288.344971       9.70685040E-04  -1.32285094      0.220089853    
   1488.76855       85280.0547       288.136108       9.76578449E-04  -1.36013710      0.144582078    
   1463.35461       85549.4141       287.823608       9.25841974E-04  -1.41843033       8.56534988E-02
   1437.94177       85819.6719       287.511383       8.75107653E-04  -1.47672105       2.67274864E-02
   1412.53003       86090.8281       287.199402       8.24375544E-04  -1.53500915      -3.21959928E-02
   1387.11938       86362.8828       286.887756       8.50780052E-04  -1.60070121     -0.104239047    
   1361.70996       86635.8203       286.576416       9.52214818E-04  -1.67359447     -0.189043000    
   1336.30188       86909.6406       286.265411       1.05364423E-03  -1.74648392     -0.273842454    
   1310.89490       87184.3516       285.954681       1.15506921E-03  -1.81937015     -0.358638257    
   1285.48938       87459.8984       285.749847       1.24197628E-03  -1.88263893     -0.457849115    
   1260.08521       87736.1953       285.624420       1.31798349E-03  -1.93868697     -0.567880929    
   1234.68250       88013.2109       285.499176       1.39398617E-03  -1.99473166     -0.677906454    
   1209.28113       88290.9453       285.373993       1.46998500E-03  -2.05077338     -0.787926137    
   1183.88135       88569.4141       285.215607       1.54595007E-03  -2.10056567     -0.874869108    
   1158.48328       88848.6406       285.038147       1.62189349E-03  -2.14675856     -0.948523462    
   1133.08691       89128.6406       284.860870       1.69783179E-03  -2.19294810      -1.02217293    
   1107.69226       89409.4141       284.683807       1.77376496E-03  -2.23913455      -1.09581745    
   1082.30054       89690.9844       284.433838       1.83203060E-03  -2.27281570      -1.11823559    
   1056.90979       89973.4297       284.152405       1.88261969E-03  -2.30106282      -1.11839426    
   1031.52100       90256.7656       283.871246       1.93320483E-03  -2.32930779      -1.11855292    
   1006.13434       90540.9844       283.590363       1.98378577E-03  -2.35755038      -1.11871159    
   980.750000       90826.0547       283.369171       2.03435053E-03  -2.36269045      -1.05305934    
   955.368042       91111.9453       283.167084       2.08490691E-03  -2.36046958     -0.966443419    
   929.988464       91398.6094       283.047394       2.13545072E-03  -2.35299587     -0.876833916    
   904.611572       91685.9844       282.949799       2.18598708E-03  -2.34411407     -0.786428690    
   879.237427       91974.0703       282.852386       2.23650946E-03  -2.35833144     -0.710567117    
   853.866272       92262.8516       282.755066       2.28702417E-03  -2.37767696     -0.637942195    
   828.498291       92552.3359       282.657806       2.38031754E-03  -2.39782643     -0.578496158    
   803.133484       92842.5156       282.560699       2.48129177E-03  -2.41811824     -0.521425307    
   777.772278       93133.4297       282.372925       2.58221594E-03  -2.43173885     -0.475198627    
   752.414856       93425.1328       282.172546       2.68312031E-03  -2.44441748     -0.430506170    
   727.061340       93717.6094       282.019165       2.78397254E-03  -2.47687864     -0.390121609    
   701.712097       94010.8281       281.870911       2.88480404E-03  -2.51141715     -0.350196540    
   676.367554       94304.7344       281.818970       2.98557943E-03  -2.56751370     -0.319731861    
   651.027893       94599.2734       281.774109       3.08633246E-03  -2.62516165     -0.289957762    
   625.693604       94894.4141       281.778656       3.13872751E-03  -2.65727544     -0.283281058    
   600.365112       95190.1250       281.785217       3.18906689E-03  -2.68830276     -0.277582169    
   575.042847       95486.3906       281.842438       3.18979262E-03  -2.67658329     -0.294970006    
   549.727417       95783.1641       281.899780       3.19033419E-03  -2.66451788     -0.312810063    
   524.419434       96080.4766       281.906372       3.24062281E-03  -2.67780471     -0.341597885    
   499.119629       96378.3359       281.912964       3.29089491E-03  -2.69390440     -0.370387435    
   473.828918       96676.7266       281.919617       3.34113906E-03  -2.78811216     -0.399471730    
   448.548248       96975.6406       281.926208       3.39136273E-03  -2.88380694     -0.428236008    
   423.278717       97275.0703       281.932800       3.44155496E-03  -3.00446892     -0.451926202    
   398.021759       97575.0000       281.935425       3.49172135E-03  -3.11916113     -0.474912226    
   372.778900       97875.4297       281.891205       3.54185048E-03  -3.16428256     -0.489742398    
   347.552155       98176.3672       281.837189       3.59194656E-03  -3.19933939     -0.503767550    
   322.343933       98477.8438       281.691833       3.64199700E-03  -3.14104533     -0.510384738    
